"","dir","date","region","chain","summary","q","q_sd","c","c_sd","symptomatic_fraction","symptomatic_fraction_sd","socialDistancing_other","socialDistancing_other_sd","p_reduced","p_reduced_sd","Initial_Condition_Scale","Initial_Condition_Scale_sd","R0","R0_sd","chain","S_c","S_a","S_rc","S_fc","S_e","E_c","E_a","E_rc","E_fc","E_e","Isym_c","Isym_a","Isym_rc","Isym_fc","Isym_e","Iasym_c","Iasym_a","Iasym_rc","Iasym_fc","Iasym_e"
"2020-10-05c_nyc_chains_summary.csv","2020-10-05c_nyc_chains_summary.csv","unwt","nyc","chains","summary.csv",0.0343965454545455,0.00114816909090909,0.486374545454545,0.280797272727273,0.479321818181818,0.0357955454545455,0.110443727272727,0.0732992727272727,0.319074545454545,0.178542727272727,1.13760909090909,0.140547272727273,2.03116363636364,9.05334545454545e-14,6,2200581.81818182,1876281.81818182,3725527.27272727,335186.363636364,1282772.72727273,3131.84545454545,866.857272727273,1841.8,262.787272727273,230.935454545455,729.208181818182,201.357272727273,428.879090909091,61.4309090909091,53.4676363636364,4481.04545454545,1238.85454545455,2631.27272727273,376.548181818182,331.043636363636
"2020-10-05c_sflor_chains_summary.csv","2020-10-05c_sflor_chains_summary.csv","unwt","sflor","chains","summary.csv",0.0435141818181818,0.00121740181818182,0.970741818181818,0.024863,0.203884545454545,0.00859546363636364,0.197715454545455,0.0867124545454546,0.339052545454545,0.185112727272727,1.09515454545455,0.0987915454545455,2.55606363636364,1.88858181818182e-13,6,1397145.45454545,1162300,2307990.90909091,207767.272727273,1090600,536.621818181818,144.56,306.640909090909,43.8059090909091,52.567,123.751818181818,33.9499090909091,71.1846363636364,9.85639090909091,12.0467272727273,763.318181818182,205.888181818182,436.965454545455,62.4236363636364,75.5651818181818
"2020-10-05c_wash_chains_summary.csv","2020-10-05c_wash_chains_summary.csv","unwt","wash","chains","summary.csv",0.0215915454545455,0.000106699363636364,0.235408827272727,0.0934312636363636,0.520087272727273,0.00762888181818182,0.215752727272727,0.0635277545454545,0.729502727272727,0.0962844363636364,1.11280909090909,0.0217660181818182,1.2667,7.56158181818182e-14,6,973506.363636364,809603.636363636,1607627.27272727,144709.090909091,526570,533.037272727273,143.552727272727,304.91,43.3998181818182,36.7227272727273,123.522727272727,33.3842727272727,71.2198181818182,10.0152636363636,8.90252727272727,760.050909090909,204.756363636364,435.108181818182,62.3173636363636,52.3021818181818
"2020-10-07_nyc_chains_summary.csv","2020-10-07_nyc_chains_summary.csv","unwt (long)","nyc","chains","summary.csv",0.0344396363636364,0.00107377727272727,0.495945454545455,0.282156363636364,0.480298181818182,0.0359201818181818,0.107942090909091,0.0713515454545455,0.318323636363636,0.178183636363636,1.12923636363636,0.132548181818182,2.03887272727273,8.88985454545455e-14,6,2200636.36363636,1876300,3725572.72727273,335193.636363636,1282800,3108.81818181818,860.489090909091,1828.26363636364,260.857272727273,229.237272727273,723.85,199.876363636364,425.728181818182,60.9794545454545,53.0748181818182,4448.12727272727,1229.73636363636,2611.96363636364,373.780909090909,328.610909090909
"2020-10-07_sflor_chains_summary.csv","2020-10-07_sflor_chains_summary.csv","unwt (long)","sflor","chains","summary.csv",0.0433198181818182,0.00136936363636364,0.974320909090909,0.0224145454545455,0.20288,0.00896871818181818,0.194420909090909,0.0950174545454545,0.367405454545455,0.204351818181818,1.11138181818182,0.112659545454545,2.63058181818182,1.72912636363636e-13,6,1397109.09090909,1162300,2307954.54545455,207761.818181818,1090600,544.576363636364,146.701818181818,311.186363636364,44.4552727272727,53.3460909090909,125.585454545455,34.4527272727273,72.2395454545454,10.0024727272727,12.2251818181818,774.63,208.938181818182,443.440909090909,63.3487272727273,76.685
"2020-10-07_wash_chains_summary.csv","2020-10-07_wash_chains_summary.csv","unwt (long)","wash","chains","summary.csv",0.0225807272727273,8.41279272727273e-05,0.126509686363636,0.0826807672727273,0.478290909090909,0.00472793545454545,0.168172727272727,0.0585926612727273,0.796810909090909,0.116124772727273,1.00707272727273,0.00810982209090909,1.32848181818182,9.89506363636364e-14,6,973640.909090909,809640,1607700,144720,526580,482.392727272727,129.916363636364,275.94,39.2763636363636,33.2338181818182,111.785454545455,30.2124545454545,64.4533636363636,9.06375454545454,8.05666363636364,687.839090909091,185.303636363636,393.770909090909,56.3967272727273,47.3330909090909
"2020-10-09_nyc_chains_summary.csv","2020-10-09_nyc_chains_summary.csv","wtd","nyc","chains","summary.csv",0.0384014545454545,0.00226010909090909,0.46138,0.284176363636364,0.3196,0.0526045454545455,0.135029090909091,0.0930222727272727,0.409510909090909,0.217995454545455,1.14756363636364,0.147114,2.27428181818182,9.32586090909091e-14,6,2200490.90909091,1876263.63636364,3725481.81818182,335180.909090909,1282745.45454545,3159.22727272727,874.44,1857.9,265.086363636364,232.953636363636,735.585454545455,203.118181818182,432.629090909091,61.9682727272727,53.9351818181818,4520.22727272727,1249.7,2654.30909090909,379.841818181818,333.94
"2020-10-09_sflor_chains_summary.csv","2020-10-09_sflor_chains_summary.csv","wtd","sflor","chains","summary.csv",0.0449905454545455,0.000898959090909091,0.973177272727273,0.0243351818181818,0.167385454545455,0.0122100909090909,0.202556363636364,0.0986016363636364,0.379146363636364,0.218142727272727,1.05104545454545,0.0448311818181818,2.69422727272727,1.70974636363636e-13,6,1397200,1162300,2308000,207770,1090600,515.009090909091,138.737272727273,294.291818181818,42.0415454545455,50.4498181818182,118.767272727273,32.5820909090909,68.3175454545455,9.45935454545454,11.5616363636364,732.572727272727,197.597272727273,419.362727272727,59.9091818181818,72.5216363636364
"2020-10-09_wash_chains_summary.csv","2020-10-09_wash_chains_summary.csv","wtd","wash","chains","summary.csv",0.0264485454545455,0.000819798181818182,0.406760909090909,0.26789,0.366137272727273,0.0354470909090909,0.184195454545455,0.113761818181818,0.440068181818182,0.245240909090909,1.01506363636364,0.015013,1.55251818181818,1.15120272727273e-13,6,973631.818181818,809640,1607700,144720,526580,486.220909090909,130.943636363636,278.128181818182,39.5879090909091,33.4974545454545,112.672727272727,30.4522727272727,64.9648181818182,9.13567272727273,8.12060909090909,693.296363636364,186.772727272727,396.894545454545,56.8442727272727,47.7084545454545
"2020-10-12_nyc_chains_summary.csv","2020-10-12_nyc_chains_summary.csv","wtd (long)","nyc","chains","summary.csv",0.0384184545454545,0.00229282727272727,0.468433636363636,0.285524545454545,0.318285454545455,0.0520633636363636,0.139490909090909,0.0947875454545455,0.40731,0.220221818181818,1.15109090909091,0.151267272727273,2.33020909090909,1.14252090909091e-13,6,2200472.72727273,1876263.63636364,3725490.90909091,335178.181818182,1282727.27272727,3168.98181818182,877.136363636364,1863.61818181818,265.904545454545,233.672727272727,737.851818181818,203.744545454545,433.963636363636,62.1592727272727,54.1014545454545,4534.18181818182,1253.54545454545,2662.48181818182,381.015454545455,334.969090909091
"2020-10-12_sflor_chains_summary.csv","2020-10-12_sflor_chains_summary.csv","wtd (long)","sflor","chains","summary.csv",0.0450947272727273,0.000839369090909091,0.974659090909091,0.0220092727272727,0.166706363636364,0.011392,0.202581818181818,0.0998625454545455,0.375138181818182,0.219559090909091,1.04776363636364,0.0424580909090909,2.71387272727273,1.41906181818182e-13,6,1397200,1162300,2308000,207770,1090600,513.415454545455,138.309090909091,293.38,41.9114545454545,50.2937272727273,118.400909090909,32.4812727272727,68.106,9.43008181818182,11.5256363636364,730.306363636364,196.985454545455,418.067272727273,59.7238181818182,72.2974545454545
"2020-10-12_wash_chains_summary.csv","2020-10-12_wash_chains_summary.csv","wtd (long)","wash","chains","summary.csv",0.0264306363636364,0.000805427272727273,0.387905454545455,0.268148181818182,0.367795454545455,0.0349164545454545,0.183632727272727,0.110890909090909,0.435979090909091,0.242637272727273,1.01480909090909,0.0149847272727273,1.57422727272727,1.26524727272727e-13,6,973630,809640,1607700,144720,526580,486.092727272727,130.91,278.056363636364,39.5772727272727,33.4886363636364,112.645454545455,30.4440909090909,64.9475454545455,9.13323636363636,8.11844545454545,693.112727272727,186.725454545455,396.79,56.829,47.6959090909091
